時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:45,89840,Ｒ－ハウスリート,R-House REIT,2026年2月期　決算短信（ＲＥＩＴ）,Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260415504781.pdf
16:00,96010,松竹,Shochiku,（訂正）2026年２月期第４四半期決算説明資料の一部訂正ついて,(Correction) Earnings Presentation Materials for FY2026 ending February,東札福,東札福,https://www.release.tdnet.info/inbs/140120260416505498.pdf
16:00,87830,ａｂｃ,abc,フィジカルAIロボット事業への参画に関するお知らせ,Notice regarding participation in physical AI robot business,東,TSE,https://www.release.tdnet.info/inbs/140120260416505416.pdf
16:00,86990,ＨＳＨＤ,HSHD,ハーン銀行からの配当金受領の一時的な制限に関するお知らせ,Notice regarding temporary restrictions on receiving dividends from Khan Bank,東,TSE,https://www.release.tdnet.info/inbs/140120260416505509.pdf
16:00,81130,ユニチャーム,Unicharm,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,Notice Regarding Completion of Payment for Disposal of Treasury Shares as Restricted Stock Compensation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505247.pdf
16:00,74620,ＣＡＰＩＴＡ,CAPITA,販売用不動産の譲渡に関するお知らせ,Notice regarding transfer of real estate for sale,東,TSE,https://www.release.tdnet.info/inbs/140120260416505305.pdf
16:00,73770,ＤＮホールディングス,DN Holdings,子会社における取締役候補者の選任に関するお知らせ,Notice regarding appointment of director candidates at subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260415504923.pdf
16:00,73590,Ｇ－東京通信Ｇ,G-Tokyo Communication G,報告セグメントの変更に関するお知らせ,Notice regarding changes in reportable segments,東,TSE,https://www.release.tdnet.info/inbs/140120260414504348.pdf
16:00,68900,フェローテック,ferrotec,（開示事項の訂正）2028年満期ユーロ円建転換社債型新株予約権付社債の130％コールオプション条項による繰上償還の権利発生と行使に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505505.pdf
16:00,66480,かわでん,Kawaden,指名・報酬委員会の設置に関するお知らせ,Notice regarding establishment of nomination and compensation committee,東,TSE,https://www.release.tdnet.info/inbs/140120260416505315.pdf
16:00,53430,ニッコー,Nikko,新任取締役候補者の選任に関するお知らせ,Notice regarding the selection of new director candidates,名,NSE,https://www.release.tdnet.info/inbs/140120260406598610.pdf
16:00,477A0,Ｇ－スタートライン,G-Start Line,新規出店及び固定資産の取得（建物附属設備）並びに固定資産の賃借に関するお知らせ,"Notice regarding new store openings, acquisition of fixed assets (equipment attached to buildings), and lease of fixed assets",東,TSE,https://www.release.tdnet.info/inbs/140120260416505408.pdf
16:00,45980,Ｇ－ＤＥＬＴＡ－Ｐ,G-DELTA-P,DFP-10917単剤及びVEN併用の米国ＦＤＡとの協議準備に関するお知らせ,Notice regarding preparations for consultation with the US FDA regarding DFP-10917 alone and in combination with VEN,東,TSE,https://www.release.tdnet.info/inbs/140120260416505521.pdf
16:00,45720,Ｇ－カルナバイオ,G-Karna Bio,従業員に対する譲渡制限付株式としての新株式発行に関するお知らせ,Notice regarding issuance of new shares as restricted stock to employees,東,TSE,https://www.release.tdnet.info/inbs/140120260407599510.pdf
16:00,38480,データアプリ,data app,中期経営計画における財務方針の変更および2026年3月期 剰余金の配当に関するお知らせ,Notice regarding changes in financial policy in the medium-term management plan and dividends from surplus for the fiscal year ending March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260416505254.pdf
16:00,38230,ＷＨＹ　ＨＯＷ　ＤＯ,WHY HOW DO,子会社の異動を伴う株式の取得（子会社化）及び新たな事業の開始に関するお知らせ,Announcement regarding acquisition of shares due to change in subsidiary (making it a subsidiary) and start of new business,東,TSE,https://www.release.tdnet.info/inbs/140120260415504952.pdf
16:00,38230,ＷＨＹ　ＨＯＷ　ＤＯ,WHY HOW DO,株式の取得（子会社化及び孫会社化）、簡易株式交換による完全子会社（孫会社）化及び新たな事業の開始に関するお知らせ,"Notice regarding stock acquisition (making it a subsidiary and sub-subsidiary company), making it a wholly owned subsidiary (sub-subsidiary company) through a simple stock exchange, and starting a new business",東,TSE,https://www.release.tdnet.info/inbs/140120260415504947.pdf
16:00,323A0,Ｇ－フライヤー,G-Flyer,2026年2月期通期決算に関する質疑応答（要旨）,Q&A regarding full-year financial results for the fiscal year ending February 2026 (Summary),東,TSE,https://www.release.tdnet.info/inbs/140120260416505352.pdf
16:00,30860,Ｊフロント,J front,（訂正）「２０２６年３月度　Ｊ．フロントリテイリング　連結売上収益報告（ＩＦＲＳ）」の一部訂正について,(Correction) Sales Report for March 2026,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260416505440.pdf
16:00,21460,ＵＴグループ,UT group,自己株式の取得状況及び取得終了に関するお知らせ,Notice Regarding Share Buyback Status and Completion,東,TSE,https://www.release.tdnet.info/inbs/140120260416505428.pdf
16:30,73630,Ｇ－ベビーカレンダー,G-Baby Calendar,再発防止策及び内部統制改善計画に関するお知らせ,Notice regarding recurrence prevention measures and internal control improvement plan,東,TSE,https://www.release.tdnet.info/inbs/140120260416505438.pdf
16:30,22910,福留ハム,Fukudome ham,役員人事及び執行役員人事について,Regarding officer personnel and executive officer personnel,東,TSE,https://www.release.tdnet.info/inbs/140120260416505389.pdf
16:45,542A0,Ｇ－ビタブリッドＪ,G-Vitabrid J,第三者割当増資の結果に関するお知らせ,Notice Regarding Results of Third-Party Allotment Capital Increase,東,TSE,https://www.release.tdnet.info/inbs/140120260416505502.pdf
17:00,92220,Ｐ－ｍａｎａｂｙ,P-manaby,公認会計士等の異動に関するお知らせ,Notice Regarding Change of Certified Public Accountant,東,TSE,https://www.release.tdnet.info/inbs/140120260416505184.pdf
17:00,81360,サンリオ,Sanrio,当社常務取締役の不適切な報酬受給の疑いについて,Concerning suspicion of inappropriate remuneration received by the Company's Managing Director,東,TSE,https://www.release.tdnet.info/inbs/140120260416505572.pdf
17:00,81360,サンリオ,Sanrio,役員人事に関するお知らせ,Notice Regarding Officer Personnel Changes,東,TSE,https://www.release.tdnet.info/inbs/140120260416505517.pdf
17:00,75780,ニチリョク,Nichiryoku,「第三者割当による新株式の発行及び第３回新株予約権（行使価額修正条項付）の発行」に関する資金使途の変更に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505559.pdf
17:00,75780,ニチリョク,Nichiryoku,新株予約権の取得・消却、第三者割当による新株式、新株予約権付社債及び新株予約権の発行、業務資本提携に関する契約の締結並びに親会社の異動に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505414.pdf
17:00,62260,守谷輸送機工業,Moriya Transport Machine Industry,(訂正)取締役人事に関するお知らせ,(Correction) Notice regarding director personnel affairs,東,TSE,https://www.release.tdnet.info/inbs/140120260416505592.pdf
17:00,50260,Ｇ－トリプルアイズ,G-Triple Eyes,トリプルアイズ 2026年8月期第2四半期決算説明会 書き起こし公開のお知らせ,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260416505486.pdf
17:00,45640,Ｇ－ＯＴＳ,G-OTS,第三者割当による第38回新株予約権（行使価額修正条項付）の大量行使に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505406.pdf
17:00,429A0,テクセンド,Texend,当社株式の貸借銘柄選定に関するお知らせ,Notice regarding selection of borrowing stock of our company stock,東,TSE,https://www.release.tdnet.info/inbs/140120260415505090.pdf
17:00,39970,トレードワークス,trade works,自己株式の取得及び自己株式立会外買付取引（ToSTNeT-３）による 自己株式の買付けに関するお知らせ,Notice regarding acquisition of treasury stock and purchase of treasury stock through off-auction treasury stock repurchase transaction (ToSTNeT-3),東,TSE,https://www.release.tdnet.info/inbs/140120260416505481.pdf
17:00,17800,ヤマウラ,Yamaura,子会社設立に関するお知らせ,Notice regarding establishment of subsidiary,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260416505534.pdf
17:10,41240,大阪油化工業,Osaka Yuka Kogyo,その他の関係会社の異動に関するお知らせ,Notice regarding changes in other affiliated companies,東,TSE,https://www.release.tdnet.info/inbs/140120260416505601.pdf
17:15,37600,ケイブ,cave,（訂正・数値データ訂正）「2026年５月期　第３四半期決算短信〔日本基準〕(連結)」の一部訂正について,(Correction) Q3 Earnings Report (Consolidated) for FY2026 ending May,東,TSE,https://www.release.tdnet.info/inbs/140120260415504887.pdf
17:20,72290,ユタカ技研,Yutaka Giken,株式併合、単元株式数の定めの廃止及び定款の一部変更に関するお知らせ,"Notice regarding reverse stock split, abolition of regulations regarding the number of shares constituting one unit, and partial changes to the articles of incorporation",東,TSE,https://www.release.tdnet.info/inbs/140120260415505039.pdf
17:20,72290,ユタカ技研,Yutaka Giken,自己株式消却に関するお知らせ,Notice regarding retirement of treasury stock,東,TSE,https://www.release.tdnet.info/inbs/140120260415505062.pdf
17:30,85700,イオンＦＳ,AEON FS,第19回株式報酬型ストックオプションとしての新株予約権の発行（割当）について,No.19 Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505604.pdf
17:30,85700,イオンＦＳ,AEON FS,剰余金の配当に関するお知らせ,Notice Regarding Dividend,東,TSE,https://www.release.tdnet.info/inbs/140120260416505580.pdf
17:30,30930,トレファク,Trefaq,2026年２月期 通期決算　質疑応答集 （2026/4/16更新）,"Q&A collection for full-year financial results for the fiscal year ending February 2026 (updated on April 16, 2026)",東,TSE,https://www.release.tdnet.info/inbs/140120260416505562.pdf
18:00,44770,Ｇ－ＢＡＳＥ,G-BASE,Port株式会社の株式の取得（子会社化）に関するお知らせ,"Notice regarding acquisition of shares of Port Co., Ltd. (making it a subsidiary)",東,TSE,https://www.release.tdnet.info/inbs/140120260416505168.pdf
18:00,37260,フォーシーズＨＤ,Four Seas HD,（開示事項の経過）太陽光発電事業の土地並びに権利の売買契約締結に関するお知らせ,(Progress Disclosure) Notice regarding conclusion of sales contract for land and rights for solar power generation business,東,TSE,https://www.release.tdnet.info/inbs/140120260415505050.pdf
18:00,36270,テクミラ,Tekmira,2026年2月期 決算説明会資料,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260416505541.pdf
19:10,87140,池田泉州,Ikeda Senshu,一部報道について,Statement Regarding Recent Media Reports,東,TSE,https://www.release.tdnet.info/inbs/140120260416505598.pdf
19:10,83660,滋賀銀,Shiga Gin,一部報道について,Statement Regarding Recent Media Reports,東,TSE,https://www.release.tdnet.info/inbs/140120260416505655.pdf
19:20,25230,ＭＸＳトピ除く金融,Finance excluding MXS topic,「ＭＡＸＩＳトピックス（除く金融）上場投信」の 基準価額と市場価格の重要な乖離に関するお知らせ,Notice regarding the significant discrepancy between the base price and market price of “MAXIS Topics (ex-Financial) Exchange Traded Fund”,東,TSE,https://www.release.tdnet.info/inbs/140120260416505667.pdf
19:30,47220,フューチャー,future,当社取締役（監査等委員であるものを除く）及び従業員、並びに、当社子会社の取締役に対する譲渡制限付株式としての自己株式処分に関するお知らせ,"Notice regarding disposal of treasury stock as restricted stock to directors of the Company (excluding those who are Audit and Supervisory Committee Members) and employees, and directors of subsidiaries of the Company",東,TSE,https://www.release.tdnet.info/inbs/140120260416505646.pdf
08:00,99840,ソフトバンクグループ,Softbank Group,外貨建シニア社債の発行に関するお知らせ,Notice regarding issuance of foreign currency-denominated senior corporate bonds,東,TSE,https://www.release.tdnet.info/inbs/140120260415504680.pdf
08:30,65210,Ｇ－オキサイド,G-oxide,2026年2月期 通期 決算説明会の質疑応答（要旨）について,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260415505040.pdf
08:30,33970,トリドールＨＤ,Toridoll HD,英国子会社における事業再構築（再建手続きの申し立て）に関するお知らせ,Notice regarding business restructuring (petition for restructuring procedures) at the UK subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260415504691.pdf
08:50,47280,トーセ,Tose,2026年８月期　第２四半期（中間期）決算説明資料,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260415504851.pdf
08:55,451A0,ＳＳＳＰ高配当,SSSP high dividend,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260415505100.pdf
08:55,450A0,ＳＳＳＰヘッジ有,SSSP hedged,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260415505099.pdf
08:55,449A0,ＳＳＳＰヘッジ無,SSSP no hedge,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260415505098.pdf
08:55,14950,上場アジアリート,Listed Asian REIT,ＥＴＦの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260416505128.pdf
09:00,71380,Ｇ－ＴＯＲＩＣＯ,G-TORICO,イーサリアム（ETH）の追加取得に関するお知らせ,Notice regarding additional acquisition of Ethereum (ETH),東,TSE,https://www.release.tdnet.info/inbs/140120260416505115.pdf
09:15,16724,Ｅ－ＷｉｓｄｏｍＴｒ,E-WisdomTr,上場ETF（管理会社：WisdomTree、外国投資法人：CSL）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260416505120.pdf
09:15,16724,Ｅ－ＷｉｓｄｏｍＴｒ,E-WisdomTr,上場ETF（管理会社：WisdomTree、外国投資法人：MSL）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260416505119.pdf
09:30,26430,日本株セレクトＥＴＦ,Japanese Stock Select ETF,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260416505150.pdf
09:30,25180,ＮＦ日本株女性活躍,NF Japanese stocks women's empowerment,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260416505149.pdf
09:30,14800,ＮＦ企業価値,NF corporate value,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260416505148.pdf
09:40,13294,Ｅ－ブラックロック,E-Blackrock,上場ETF（管理会社：ブラックロック・ジャパン）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260416505162.pdf
10:00,99410,太洋物産,Taiyo Bussan,2026年９月期 ３月度　月次業績（売上高）速報,Monthly Report for September 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260414503280.pdf
10:00,68580,小野測器,Ono Sokki,取締役および執行役員に対する譲渡制限付株式としての自己株式処分の払込完了に関するお知らせ,Notice regarding completion of payment for disposal of treasury stock as restricted stock to directors and executive officers,東,TSE,https://www.release.tdnet.info/inbs/140120260416505164.pdf
10:00,16714,Ｅ－シンプレクス,E-Simplex,上場ＥＴＦ(管理会社：シンプレクス・アセット・マネジメント)に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260416505158.pdf
10:15,87830,ａｂｃ,abc,当社訴訟の解決（控訴の取下げ）及び完結に関するお知らせ,Notice regarding resolution (withdrawal of appeal) and completion of our lawsuit,東,TSE,https://www.release.tdnet.info/inbs/140120260416505229.pdf
10:30,473A0,ＮＡＭ日経２２５イン,NAM Nikkei 225 Inn,ETFの収益分配金見込額のお知らせ,Notice Regarding Estimated Distribution Amount,東,TSE,https://www.release.tdnet.info/inbs/140120260416505153.pdf
11:00,78110,中本パックス,Nakamoto Pax,中期経営計画2027の策定に関するお知らせ,Notice regarding the formulation of medium-term management plan 2027,東,TSE,https://www.release.tdnet.info/inbs/140120260416505275.pdf
11:00,78110,中本パックス,Nakamoto Pax,2026年２月期　決算説明会資料,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260416505272.pdf
